symbol,ok,priceBRL,status,message
BIOM3,0,,0,"fetch failed"
BLAU3,0,,0,"fetch failed"
DASA3,0,,0,"fetch failed"
FLRY3,0,,0,"fetch failed"
HAPV3,0,,0,"fetch failed"
HYPE3,0,,0,"fetch failed"
JFEN3,0,,0,"fetch failed"
JNJB34,0,,0,"fetch failed"
LILY34,0,,0,"fetch failed"
MDTC34,0,,0,"fetch failed"
MGEL4,0,,0,"fetch failed"
MRCK34,0,,0,"fetch failed"
ODPV3,0,,0,"fetch failed"
OFSA3,0,,0,"fetch failed"
ONCO3,0,,0,"fetch failed"
PFIZ34,0,,0,"fetch failed"
PFRM3,0,,0,"fetch failed"
PGMN3,0,,0,"fetch failed"
PNVL3,0,,0,"fetch failed"
QUAL3,0,,0,"fetch failed"
RDOR3,0,,0,"fetch failed"
SIMH3,0,,0,"fetch failed"
UNHH34,0,,0,"fetch failed"
AAPL34,0,,0,"fetch failed"
ADBE34,0,,0,"fetch failed"
AERI3,0,,0,"fetch failed"
ARML3,0,,0,"fetch failed"
ASML34,0,,0,"fetch failed"
AVGO34,0,,0,"fetch failed"
BABA34,0,,0,"fetch failed"
BMOB3,0,,0,"fetch failed"
COIN11,0,,0,"fetch failed"
CSCO34,0,,0,"fetch failed"
CSXC34,0,,0,"fetch failed"
DHER34,0,,0,"fetch failed"
DISB34,0,,0,"fetch failed"
DMVF3,0,,0,"fetch failed"
EBAY34,0,,0,"fetch failed"
EQIX34,0,,0,"fetch failed"
FICT3,0,,0,"fetch failed"
GOGL34,0,,0,"fetch failed"
GOGL35,0,,0,"fetch failed"
IGTI11,0,,0,"fetch failed"
IGTI3,0,,0,"fetch failed"
INTB3,0,,0,"fetch failed"
INTU34,0,,0,"fetch failed"
LEVE3,0,,0,"fetch failed"
MELK3,0,,0,"fetch failed"
META11,0,,0,"fetch failed"
MSFT34,0,,0,"fetch failed"
NETE34,0,,0,"fetch failed"
NEXP3,0,,0,"fetch failed"
NFLX34,0,,0,"fetch failed"
NMRH34,0,,0,"fetch failed"
NVDC34,0,,0,"fetch failed"
ORCL34,0,,0,"fetch failed"
PDTC3,0,,0,"fetch failed"
QCOM34,0,,0,"fetch failed"
RIOT34,0,,0,"fetch failed"
SAPP34,0,,0,"fetch failed"
SIMN34,0,,0,"fetch failed"
SYNE3,0,,0,"fetch failed"
TECN3,0,,0,"fetch failed"
TOTS3,0,,0,"fetch failed"
TSLA34,0,,0,"fetch failed"
TSMC34,0,,0,"fetch failed"
VVEO3,0,,0,"fetch failed"
TELB3,0,,0,"fetch failed"
TELB4,0,,0,"fetch failed"
TIMS3,0,,0,"fetch failed"
VIVT3,0,,0,"fetch failed"
AZEV3,0,,0,"fetch failed"
AZEV4,0,,0,"fetch failed"
FRAS3,0,,0,"fetch failed"
JSLG3,0,,0,"fetch failed"
MOVI3,0,,0,"fetch failed"
PCAR3,0,,0,"fetch failed"
PTBL3,0,,0,"fetch failed"
RAIL3,0,,0,"fetch failed"
RPAD5,0,,0,"fetch failed"
TCSA3,0,,0,"fetch failed"
TPIS3,0,,0,"fetch failed"
VAMO3,0,,0,"fetch failed"
ALPA4,0,,0,"fetch failed"
AMAR3,0,,0,"fetch failed"
AMER3,0,,0,"fetch failed"
ASAI3,0,,0,"fetch failed"
BRPR3,0,,0,"fetch failed"
COLG34,0,,0,"fetch failed"
COWC34,0,,0,"fetch failed"
HBSA3,0,,0,"fetch failed"
LJQQ3,0,,0,"fetch failed"
LREN3,0,,0,"fetch failed"
MACY34,0,,0,"fetch failed"
MGLU3,0,,0,"fetch failed"
NIKE34,0,,0,"fetch failed"
RADL3,0,,0,"fetch failed"
SBFG3,0,,0,"fetch failed"
SHOW3,0,,0,"fetch failed"
TFCO4,0,,0,"fetch failed"
VIVA3,0,,0,"fetch failed"
VLID3,0,,0,"fetch failed"
WALM34,0,,0,"fetch failed"
AIRB34,0,,0,"fetch failed"
ARMT34,0,,0,"fetch failed"
BIDU34,0,,0,"fetch failed"
BKNG34,0,,0,"fetch failed"
BLAK34,0,,0,"fetch failed"
BOAC34,0,,0,"fetch failed"
BONY34,0,,0,"fetch failed"
BOXP34,0,,0,"fetch failed"
C2OI34,0,,0,"fetch failed"
CTGP34,0,,0,"fetch failed"
DBAG34,0,,0,"fetch failed"
DDNB34,0,,0,"fetch failed"
DEEC34,0,,0,"fetch failed"
